Repository Name,Repository URL,Default Branch,Star Count,Description,Update_date
io,https://github.com/IoLanguage/io,master,2605,"Io programming language. Inspired by Self, Smalltalk and LISP.",2023-11-21T09:45:46Z
sl,https://github.com/mtoyoda/sl,master,2713,SL(1): Cure your bad habit of mistyping,2023-11-22T04:36:24Z
cleanflight,https://github.com/cleanflight/cleanflight,master,2531,Clean-code version of the baseflight flight controller firmware,2023-11-22T08:10:11Z
word2vec,https://github.com/danielfrg/word2vec,main,2535,Python interface to Google word2vec,2023-11-21T07:51:26Z
microui,https://github.com/rxi/microui,master,2912,A tiny immediate-mode UI library,2023-11-21T22:32:20Z
libmodbus,https://github.com/stephane/libmodbus,master,2952,"A Modbus library for Linux, Mac OS, FreeBSD and Windows",2023-11-22T10:43:57Z
luna,https://github.com/tj/luna,master,2446,"luna programming language - a small, elegant VM implemented in C",2023-11-07T04:47:33Z
PolarDB-for-PostgreSQL,https://github.com/ApsaraDB/PolarDB-for-PostgreSQL,POLARDB_11_STABLE,2698,A cloud-native database based on PostgreSQL developed by Alibaba Cloud.,2023-11-22T04:04:05Z
dpvs,https://github.com/iqiyi/dpvs,master,2762,DPVS is a high performance Layer-4 load balancer based on DPDK.,2023-11-18T17:36:38Z
geany,https://github.com/geany/geany,master,2880,A fast and lightweight IDE,2023-11-20T14:08:02Z
acl,https://github.com/acl-dev/acl,master,2682,"A powerful server and network library, including coroutine, redis client, http, websocket, mqtt with C/C++ for multi-platform including Linux, Android, iOS, MacOS, Windows, etc..",2023-11-21T11:46:14Z
HomeKitADK,https://github.com/apple/HomeKitADK,master,2493,,2023-11-14T15:30:37Z
massdns,https://github.com/blechschmidt/massdns,master,2821,A high-performance DNS stub resolver for bulk lookups and reconnaissance (subdomain enumeration),2023-11-22T04:02:59Z
u-boot,https://github.com/u-boot/u-boot,master,3245,"""Das U-Boot"" Source Tree",2023-11-22T05:27:18Z
notcurses,https://github.com/dankamongmen/notcurses,master,2937,blingful character graphics/TUI library. definitely not curses.,2023-11-22T08:13:01Z
shairport,https://github.com/abrasive/shairport,master,2429,Airtunes emulator! Shairport is no longer maintained.,2023-11-21T21:04:06Z
RMStore,https://github.com/robotmedia/RMStore,master,2430,A lightweight iOS library for In-App Purchases,2023-11-14T07:11:42Z
